1,1,1,1
2,1,2,1
3,1,3,4
4,1,4,4
5,1,5,1
6,1,6,3
7,1,7,1
8,1,8,2
9,1,9,2
10,1,10,1
11,2,1,4
12,2,2,3
13,2,3,1
14,2,4,3
15,2,5,5
16,2,6,5
17,2,7,3
18,2,8,5
19,2,9,4
20,2,10,5
21,3,1,3
22,3,2,3
23,3,3,3
24,3,4,5
25,3,5,5
26,3,6,3
27,3,7,4
28,3,8,3
29,3,9,4
30,3,10,5
31,4,1,4
32,4,2,2
33,4,3,1
34,4,4,1
35,4,5,2
36,4,6,1
37,4,7,5
38,4,8,1
39,4,9,4
40,4,10,3
41,5,1,2
42,5,2,1
43,5,3,4
44,5,4,3
45,5,5,5
46,5,6,4
47,5,7,3
48,5,8,5
49,5,9,1
50,5,10,2
51,6,1,1
52,6,2,1
53,6,3,5
54,6,4,1
55,6,5,2
56,6,6,3
57,6,7,1
58,6,8,5
59,6,9,5
60,6,10,2
